Date,Close,name,price
2008912 ,9.04,TSMC,1.076190476
2008919 ,9.93,TSMC,1.182142857
2008926 ,9.2,TSMC,1.095238095
2008103 ,8.41,TSMC,1.001190476
201000000000 ,8.21,TSMC,0.977380952
201000000000 ,7.7,TSMC,0.916666667
201000000000 ,6.43,TSMC,0.76547619
201000000000 ,8.22,TSMC,0.978571429
2008117 ,7.74,TSMC,0.921428571
201000000000 ,6.93,TSMC,0.825
201000000000 ,6.48,TSMC,0.771428571
201000000000 ,7.11,TSMC,0.846428571
2008125 ,6.69,TSMC,0.796428571
201000000000 ,7.7,TSMC,0.916666667
201000000000 ,7.75,TSMC,0.922619048
201000000000 ,7.52,TSMC,0.895238095
200912 ,8.18,TSMC,0.973809524
200919 ,7.45,TSMC,0.886904762
2009116 ,7.41,TSMC,0.882142857
2009123 ,7.68,TSMC,0.914285714
2009130 ,7.5,TSMC,0.892857143
200926 ,8.65,TSMC,1.029761905
2009213 ,8.25,TSMC,0.982142857
2009220 ,7.46,TSMC,0.888095238
2009227 ,7.5,TSMC,0.892857143
200936 ,8.21,TSMC,0.977380952
2009313 ,8.78,TSMC,1.045238095
2009320 ,8.48,TSMC,1.00952381
2009327 ,9.2,TSMC,1.095238095
200943 ,10.24,TSMC,1.219047619
200949 ,9.77,TSMC,1.163095238
2009417 ,9.55,TSMC,1.136904762
2009424 ,9.02,TSMC,1.073809524
200951 ,10.73,TSMC,1.277380952
200958 ,10.39,TSMC,1.236904762
2009515 ,9.97,TSMC,1.186904762
2009522 ,10.48,TSMC,1.247619048
2009529 ,10.89,TSMC,1.296428571
200965 ,10.19,TSMC,1.213095238
2009612 ,9.99,TSMC,1.189285714
2009619 ,9.18,TSMC,1.092857143
2009626 ,9.52,TSMC,1.133333333
200973 ,9.32,TSMC,1.10952381
2009710 ,9.63,TSMC,1.146428571
2009717 ,9.93,TSMC,1.182142857
2009724 ,10.29,TSMC,1.225
2009731 ,10.47,TSMC,1.246428571
200987 ,10.23,TSMC,1.217857143
2009814 ,10.56,TSMC,1.257142857
2009821 ,10.44,TSMC,1.242857143
2009828 ,10.78,TSMC,1.283333333
200994 ,10.81,TSMC,1.286904762
2009911 ,10.93,TSMC,1.301190476
2009918 ,10.87,TSMC,1.294047619
2009925 ,10.45,TSMC,1.244047619
2009102 ,10.35,TSMC,1.232142857
2009109 ,10.05,TSMC,1.196428571
201000000000 ,9.83,TSMC,1.170238095
201000000000 ,10.01,TSMC,1.191666667
201000000000 ,9.54,TSMC,1.135714286
2009116 ,9.79,TSMC,1.16547619
201000000000 ,10.59,TSMC,1.260714286
201000000000 ,10.39,TSMC,1.236904762
201000000000 ,10.31,TSMC,1.227380952
2009124 ,10.8,TSMC,1.285714286
201000000000 ,10.73,TSMC,1.277380952
201000000000 ,11.11,TSMC,1.322619048
201000000000 ,11.27,TSMC,1.341666667
201000000000 ,11.44,TSMC,1.361904762
201018 ,11.1,TSMC,1.321428571
2010115 ,10.6,TSMC,1.261904762
2010122 ,10.09,TSMC,1.201190476
2010129 ,10.16,TSMC,1.20952381
201025 ,9.56,TSMC,1.138095238
2010212 ,9.71,TSMC,1.155952381
2010219 ,10.02,TSMC,1.192857143
2010226 ,9.75,TSMC,1.160714286
201035 ,10.13,TSMC,1.205952381
2010312 ,10.33,TSMC,1.229761905
2010319 ,10.09,TSMC,1.201190476
2010326 ,10.36,TSMC,1.233333333
201041 ,10.6,TSMC,1.261904762
201049 ,10.62,TSMC,1.264285714
2010416 ,10.85,TSMC,1.291666667
2010423 ,10.96,TSMC,1.304761905
2010430 ,10.59,TSMC,1.260714286
201057 ,9.89,TSMC,1.177380952
2010514 ,9.87,TSMC,1.175
2010521 ,9.79,TSMC,1.16547619
2010528 ,9.75,TSMC,1.160714286
201064 ,9.62,TSMC,1.145238095
2010611 ,9.8,TSMC,1.166666667
2010618 ,10.2,TSMC,1.214285714
2010625 ,10.02,TSMC,1.192857143
201072 ,9.89,TSMC,1.177380952
201079 ,10.15,TSMC,1.208333333
2010716 ,9.92,TSMC,1.180952381
2010723 ,10.46,TSMC,1.245238095
2010730 ,10.1,TSMC,1.202380952
201086 ,9.96,TSMC,1.185714286
2010813 ,9.7,TSMC,1.154761905
2010820 ,9.68,TSMC,1.152380952
2010827 ,9.65,TSMC,1.148809524
201093 ,9.77,TSMC,1.163095238
2010910 ,9.48,TSMC,1.128571429
2010917 ,9.91,TSMC,1.179761905
2010924 ,9.98,TSMC,1.188095238
2010101 ,10.25,TSMC,1.220238095
2010108 ,10.36,TSMC,1.233333333
201000000000 ,10.34,TSMC,1.230952381
201000000000 ,10.6,TSMC,1.261904762
201000000000 ,10.91,TSMC,1.298809524
2010115 ,11.18,TSMC,1.330952381
201000000000 ,11.05,TSMC,1.31547619
201000000000 ,11.08,TSMC,1.319047619
201000000000 ,11,TSMC,1.30952381
2010123 ,11.97,TSMC,1.425
201000000000 ,12.08,TSMC,1.438095238
201000000000 ,12.69,TSMC,1.510714286
201000000000 ,12.23,TSMC,1.455952381
201000000000 ,12.54,TSMC,1.492857143
201117 ,13.07,TSMC,1.555952381
2011114 ,13.68,TSMC,1.628571429
2011121 ,13.27,TSMC,1.579761905
2011128 ,13.11,TSMC,1.560714286
201124 ,13.62,TSMC,1.621428571
2011211 ,12.94,TSMC,1.54047619
2011218 ,12.81,TSMC,1.525
2011225 ,12.29,TSMC,1.463095238
201134 ,12.41,TSMC,1.477380952
